,price,num_parking,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,median_house_rent_per_week,median_apartment_rent_per_week,avg_years_held,year_sold,price_year_ratio,day_sold,region_fre,suburb_fre,region_price_diff,type_encoded,property_size_bin,suburb_house_price_bin,suburb_apartment_price_bin,num_bath_bed,house_rent_yield,apartment_rent_yield,property/room_ratio,English,Australian
2249,1875000.0,2,House,1390.0,51636,0.607,-34.06716,151.11552,42,0.43,165.9,24.05,900.0,502.32034632034635,12.5,2020,1088.5700148441365,3,0.06279904306220095,0.0017942583732057417,-1237246.0317460317,5,5,5,5,8,0.021272727272727273,0.03576580910589876,83.75,33.0,25.4
2250,1945000.0,1,House,7938.0,55484,1.218,-33.8937,151.16537,29,0.75,166.4,5.2,855.0,490.0,15.5,2019,767.3267326732673,30,0.1210127591706539,0.004186602870813397,96985.17298187804,5,4,4,5,5,0.028683870967741935,0.033748344370860925,91.0,21.8,17.9
2251,1560000.0,2,House,11919.0,49920,6.001,-33.73444,151.12793,183,0.75,166.4,16.36,920.0,580.0,12.4,2019,990.0990099009902,18,0.04924242424242424,0.006180223285486443,-99271.25506072864,5,6,4,6,6,0.02392,0.03506976744186047,160.16666666666666,26.6,20.1
2252,2325005.0,5,House,7501.0,45552,4.195,-33.68907,151.29762,8,0.1,220.1,21.15,1000.0,725.0,10.9,2021,741.839762611276,12,0.07236842105263158,0.0029904306220095694,488292.0110192837,5,7,3,7,7,0.034666666666666665,0.04032085561497326,144.57142857142858,29.1,23.5
2253,2910000.0,0,House,10045.0,57356,0.865,-33.89314,151.26703,61,0.1,220.1,6.13,1275.0,720.0,11.5,2021,1285.8555885262117,30,0.022727272727272728,0.001594896331738437,374122.8070175438,5,2,5,8,4,0.0255,0.034036363636363635,45.75,20.5,13.9
2254,2370000.0,2,House,7870.0,49660,2.679,-33.73559,151.30351,14,0.75,166.4,16.78,1100.0,575.0,16.6,2019,1188.118811881188,16,0.07236842105263158,0.0033891547049441787,-411707.9889807163,5,4,5,6,7,0.023833333333333335,0.033977272727272724,65.28571428571429,27.9,23.7
2255,1740000.0,2,House,7961.0,56576,1.959,-33.79453,151.26125,58,1.5,174.2,9.16,1050.0,620.0,10.4,2017,1065.4112983151635,27,0.07236842105263158,0.0021929824561403508,-161707.98898071633,5,4,5,8,5,0.025395348837209303,0.02930909090909091,69.6,30.2,20.4
2256,1330000.0,6,House,11215.0,40924,4.286,-33.78379,150.99349,49,0.11,172.6,21.97,505.0,435.0,12.8,2020,479.96041563582384,27,0.29984051036682613,0.003987240829346092,-147830.45212765958,5,5,2,3,9,0.027072164948453607,0.03833898305084746,76.11111111111111,20.0,19.0
2257,500000.0,1,Townhouse,9633.0,37024,6.995,-33.97099,150.89301,29,0.75,169.6,31.57,485.0,380.0,8.8,2020,338.941118258288,21,0.29984051036682613,0.0033891547049441787,137169.54787234042,12,4,1,2,4,0.03681751824817518,0.04342857142857143,83.0,13.2,13.7
2258,2350000.0,2,House,13297.0,32448,3.863,-33.77752,151.10509,87,0.1,220.1,13.73,715.0,510.0,10.8,2021,816.0237388724036,27,0.04924242424242424,0.0033891547049441787,250728.74493927136,5,5,4,5,8,0.022533333333333332,0.03315,76.625,13.5,12.1
2259,5150000.0,1,House,12911.0,73944,1.627,-33.88334,151.22781,53,0.11,172.6,2.61,1150.0,525.0,10.2,2020,1187.5309252845127,13,0.015151515151515152,0.004984051036682616,-518421.0526315789,5,2,5,6,7,0.024916666666666667,0.03174418604651163,26.142857142857142,27.4,17.5
2260,1330000.0,2,House,15284.0,38272,4.676,-34.03262,151.10521,23,0.1,197.9,20.95,715.0,490.0,11.5,2021,568.7438180019782,4,0.06279904306220095,0.004585326953748007,-187246.03174603172,5,6,3,4,6,0.0323304347826087,0.0392,137.0,25.0,22.7
2261,2200000.0,3,House,9301.0,46852,3.812,-33.65717,151.31571,12,1.5,176.6,25.06,920.0,590.0,11.5,2017,891.9722497522299,15,0.07236842105263158,0.0043859649122807015,188292.01101928367,5,5,4,7,7,0.026577777777777777,0.032294736842105265,81.28571428571429,32.4,24.6
